ALLEN PHILLIP K,False
BADUM JAMES P,False
BANNANTINE JAMES M,False
BAXTER JOHN C,False
BAY FRANKLIN R,False
BAZELIDES PHILIP J,False
BECK SALLY W,False
BELDEN TIMOTHY N,True
BELFER ROBERT,False
BERBERIAN DAVID,False
BERGSIEKER RICHARD P,False
BHATNAGAR SANJAY,False
BIBI PHILIPPE A,False
BLACHMAN JEREMY M,False
BLAKE JR. NORMAN P,False
BOWEN JR RAYMOND M,True
BROWN MICHAEL,False
BUCHANAN HAROLD G,False
BUTTS ROBERT H,False
BUY RICHARD B,False
CALGER CHRISTOPHER F,True
CARTER REBECCA C,False
CAUSEY RICHARD A,True
CHAN RONNIE,False
CHRISTODOULOU DIOMEDES,False
CLINE KENNETH W,False
COLWELL WESLEY,True
CORDES WILLIAM R,False
COX DAVID,False
CUMBERLAND MICHAEL S,False
DEFFNER JOSEPH M,False
DELAINEY DAVID W,True
DERRICK JR. JAMES V,False
DETMERING TIMOTHY J,False
DIETRICH JANET R,False
DIMICHELE RICHARD G,False
DODSON KEITH,False
DONAHUE JR JEFFREY M,False
DUNCAN JOHN H,False
DURAN WILLIAM D,False
ECHOLS JOHN B,False
ELLIOTT STEVEN,False
FALLON JAMES B,False
FASTOW ANDREW S,True
FITZGERALD JAY L,False
FOWLER PEGGY,False
FOY JOE,False
FREVERT MARK A,False
FUGH JOHN L,False
GAHN ROBERT S,False
GARLAND C KEVIN,False
GATHMANN WILLIAM D,False
GIBBS DANA R,False
GILLIS JOHN,False
GLISAN JR BEN F,True
GOLD JOSEPH,False
GRAMM WENDY L,False
GRAY RODNEY,False
HAEDICKE MARK E,False
HANNON KEVIN P,True
HAUG DAVID L,False
HAYES ROBERT E,False
HAYSLETT RODERICK J,False
HERMANN ROBERT J,False
HICKERSON GARY J,False
HIRKO JOSEPH,True
HORTON STANLEY C,False
HUGHES JAMES A,False
HUMPHREY GENE E,False
IZZO LAWRENCE L,False
JACKSON CHARLENE R,False
JAEDICKE ROBERT,False
KAMINSKI WINCENTY J,False
KEAN STEVEN J,False
KISHKILL JOSEPH G,False
KITCHEN LOUISE,False
KOENIG MARK E,True
KOPPER MICHAEL J,True
LAVORATO JOHN J,False
LAY KENNETH L,True
LEFF DANIEL P,False
LEMAISTRE CHARLES,False
LEWIS RICHARD,False
LINDHOLM TOD A,False
LOCKHART EUGENE E,False
LOWRY CHARLES P,False
MARTIN AMANDA K,False
MCCARTY DANNY J,False
MCCLELLAN GEORGE,False
MCCONNELL MICHAEL S,False
MCDONALD REBECCA,False
MCMAHON JEFFREY,False
MENDELSOHN JOHN,False
METTS MARK,False
MEYER JEROME J,False
MEYER ROCKFORD G,False
MORAN MICHAEL P,False
MORDAUNT KRISTINA M,False
MULLER MARK S,False
MURRAY JULIA H,False
NOLES JAMES L,False
OLSON CINDY K,False
OVERDYKE JR JERE C,False
PAI LOU L,False
PEREIRA PAULO V. FERRAZ,False
PICKERING MARK R,False
PIPER GREGORY F,False
PIRO JIM,False
POWERS WILLIAM,False
PRENTICE JAMES,False
REDMOND BRIAN L,False
REYNOLDS LAWRENCE,False
RICE KENNETH D,True
RIEKER PAULA H,True
SAVAGE FRANK,False
SCRIMSHAW MATTHEW,False
SHANKMAN JEFFREY A,False
SHAPIRO RICHARD S,False
SHARP VICTORIA T,False
SHELBY REX,True
SHERRICK JEFFREY B,False
SHERRIFF JOHN R,False
SKILLING JEFFREY K,True
STABLER FRANK,False
SULLIVAN-SHAKLOVITZ COLLEEN,False
SUNDE MARTIN,False
TAYLOR MITCHELL S,False
THORN TERENCE H,False
TILNEY ELIZABETH A,False
UMANOFF ADAM S,False
URQUHART JOHN A,False
WAKEHAM JOHN,False
WALLS JR ROBERT H,False
WALTERS GARETH W,False
WASAFF GEORGE,False
WESTFAHL RICHARD K,False
WHALEY DAVID A,False
WHALLEY LAWRENCE G,False
WHITE JR THOMAS E,False
WINOKUR JR. HERBERT S,False
WODRASKA JOHN,False
WROBEL BRUCE,False
YEAGER F SCOTT,True
YEAP SOON,False
